,작성자,시간,내용
141,bban****,2022.10.09. 07:40,유승민놈 더럽다. 사적대화 찍어 돌린 빨갱이들 장단에 춤추냐? 니는 사적으로 대통령 욕하잖아!
142,fhkk****,2022.10.09. 07:35,맞는말 했네 돌열이도 징계해야지
143,euns****,2022.10.09. 07:34,옳은 말 해도 악플 다는 수구꼴통들 에휴
144,ghks****,2022.10.09. 07:33,배신자가 꿈틀거린다
145,won_****,2022.10.09. 07:28,생긴대로 놀구 있네 ㅎ
146,oh60****,2022.10.09. 07:16,지지합니다. 힘내세요 유승민 그나마 바른말 하는 사람은 유승민입니다 파이팅!!!
147,jppk****,2022.10.09. 07:14,이런 꼴깝맨도 당원권 박탈해라.
148,6750****,2022.10.09. 07:13,유승민 승 응원합니다 지금 국짐은 건희 석렬이 돌마니들로 판친다 소신발언 잘한다 건희 석렐이 눈치 보지마라
149,yone****,2022.10.09. 07:04,배신자~~는 떠나라~~
150,amip****,2022.10.09. 06:57,비유승민신
151,kimt****,2022.10.09. 06:49,간신배
152,lm23****,2022.10.09. 06:34,아직도 여론 조사를 믿냐? 나는 몇년간 여론조사 전화를 한번도 받아보지 못 했다. 여론 조사 기관이 똑 같은 사람 집단에게 전화 하면 똑 같은 결과가 나올 뿐이죠. 그리고 배신자는 아가리좀 닦쳐라.
153,bada****,2022.10.09. 06:33,좌기러기 궁민이답다 승민이가 니네 친구지? 섹준이랑 만졌당으로 가라고 좀얘기해줘라.
154,yshd****,2022.10.09. 06:21,"찢명이처럼 쥐 관상을 가진자들은 늘 조심 조심,,"
155,lyt8****,2022.10.09. 06:08,"본인의 무능과 변절에 대한 철저한 번성과 변화없이 그저 자신의 정치적 욕망과 성공을 국민들에게 올무 씌워버리는 얼 빠진 인간,,,, 똘마니 하나 키워서 대권나오려다 무산되니 둘이 쌍박으로 꽹과리 치는구나,,,"
156,w567****,2022.10.09. 06:02,유승민 대통나올때 찍은1인으로서......요새 승민이 하는거보고 오만정이 다 떨어지네. .......자신당대통에게 도가 넘어도 한참을 넘는 말해야 당대표되는 줄 알고 승민과 준석이 누가 더 대통에게 막가파말 잘하나 내기하는 줄......승민이 경기지사선거 나갈때 자신공천 해 주지않는다고 대통 물어뜯기 뒤끝작렬 십자포화 제대로네~~ 우와~끝내주네~벤댕이속
157,asd9****,2022.10.09. 06:02,지역감정신병 걸린 노인네들은...유승민 보고 배신자라고 욕하네..ㅋㅋㅋ 내가 볼때는 니들이 배신자다... 박근혜 잡아넣은 윤석렬 죽여라 할때는 언제고. 전두환! 하니까 바로 대통령감이래...ㅋㅋㅋ 니들이 봐도 한심하지 않냐?? 니들이 그러고도 사람 새끼냐?? 박근혜한테 안미안해?? 대체 어떤 인생들을 살아왔길래 단체로 정신병들이 들었는지... 짠하기도 한데... 사람 새끼로 안보이기도 한다... 얼른 죽어야 끝나지.. 저승 갈날도 얼마 안남았는데... 양심까지 팔아먹으면서 살지는 말아라.. 노인네들아!
158,okch****,2022.10.09. 05:43,아직도 살아잇네~~~민친 배신자 GSSGG
159,kso0****,2022.10.09. 05:39,혹세무민하고 거짓이 판치는 혼란의 세상에서 그래도 유승민의원이 외치는 한마디가 속을 잠시나마 시원하게 하네요
160,bwgw****,2022.10.09. 04:55,"배신자? 윤통이 문재인 저넘을 집어넣으면 배신자가 되니? 박근혜가 대통령노릇 제대로 했으면 탄핵되었겠나? 최순실 문고리4인방 친박넘들, 이런 잡것들에게 권력을 넘겨서 국정을 농단한걸 모르나? 머저리 꼰대들, 얼마나 더 망하고 당해봐야 깨달을래."
161,basi****,2022.10.09. 04:27,구김당 꼰대들이 댓글에 왜 이러실까. 윤도리 는 징계 받는게 맞음
162,urij****,2022.10.09. 04:25,태어나서 전과 4범 사기꾼보다 더 싫은게 성상납범이랑 배신주댕이
163,dudw****,2022.10.09. 04:20,탄핵 역적 배신자가.
164,cbk0****,2022.10.09. 04:07,애라이 배신자야
165,lawn****,2022.10.09. 04:07,2찍이들 부들부들하는거보니 유승민이가 맞는말은하네
166,onet****,2022.10.09. 04:05,참....관상은 과학이다!! 배신의 아이콘!!
167,pys1****,2022.10.09. 04:05,검찰 두목을 누가감히 ᆢᆢ
168,ruru****,2022.10.09. 03:53,이××가 진짜~
169,kgh8****,2022.10.09. 03:51,이분 말은 왜 싫고 믿음이 안갈까??
170,ysum****,2022.10.09. 03:46,유승민이나 이준석은 왜 민주당에서 좋아할 말만 골라서 할까?
171,juwo****,2022.10.09. 02:14,그냥 민주당으로 가셔요. 왜 여기사 ㅈ 랠 이세요
172,qaz9****,2022.10.09. 02:20,유승민하면 배신자로 유명하지 참 엄마가 배신자????? 정말 니미조시세요
173,dawi****,2022.10.09. 01:55,"윤정권은 말로는 정의.공정.법준수 운운 하는데. 이 정권만큼 불공정.불의,불법이 판치는 정권은 본적이 없다. 아마 조만간 큰 격동의 시대가 또 올거라고 본다."
174,jpy1****,2022.10.09. 01:55,무능한 정치를 바꾸려면 그동안 니는 뭐했노정말 짬뽕이네
175,type****,2022.10.09. 01:50,기회주의자!!!! 넌 기회를 줘도 안돼.................
176,caou****,2022.10.09. 01:41,벌써 돌았냐?? 보수 한번 말아 먹었으면 됐지..........
177,caou****,2022.10.09. 01:35,한번 배신한놈은 반드시 또 배신한다는 말은 정말 진리인거 같다.
178,kqwe****,2022.10.09. 02:56,왜 안하는데? 대통령은 당원아니야??
179,youj****,2022.10.09. 01:23,살다 살다 이런 쥐seggi같은 놈은 처음 봤다. 못생긴게 비열하기 까지
180,snow****,2022.10.09. 00:56,"배신자 유승민, 천벌 받을거다"
181,khan****,2022.10.09. 00:51,윤석열은 탄핵시키자! 이준석이 실패라니...
182,tjen****,2022.10.09. 00:47,이준석계 전원을 징계하라~~
183,seok****,2022.10.09. 00:45,유승민이가 진짜 보수다
184,anti****,2022.10.09. 00:41,댓글창에서 다 썩은 시체냄새가 진동을 한다 했더니 연령대 5060 태반 ㅋㅋ 빨랑 불구덩이 들어가서 한줌의 재로 돌아가는게 나라에 도움이 되는 인간들
185,anti****,2022.10.09. 00:40,대통령이 비공식적인 자리에서 혼잣말로 비속어를 말했다고 당에서 징계한다는 말은 처음 들어본다. 민주당에서도 그런 말은 안 한다. 경선과정에서 항문침을 언급하면서 천박하고 추악한 행태를 거듭하더니 이제는 본격적으로 이준석의 바톤을 이어받아 내부총질에 나섰냐? 너때문에 국민의힘은 역선택 방지조항을 확실히 하여 니가 당대표 되는 일은 없을 것이다. 유승민이야말로 제명을 해야 한다.
186,yes9****,2022.10.09. 00:39,다 썩은 쓰레기 속에 바른 말 하는 놈 하나는 있네!
187,dmho****,2022.10.09. 00:35,대통령의 권위를 우습게 아는 유승민의 저런 태도가 이준석도 망가뜨렸다.유승민 니가 잘났으면 대통령 됐어야지.윤석열은 대통령이다. 윤석열이 대통령 아니면 이재멩이 대통령이다. 생각만 해도 끔찍하다.
188,cuty****,2022.10.09. 00:32,"배아지가 완전 뒤 틀린넘,,,제명시켜 더듬당으로 보내라."
189,yipa****,2022.10.09. 00:21,바미당출신들 짬뽕되서 어지럽다 토지거래허가 종부세 임대차3법이나 폐지해
190,kipo****,2022.10.09. 00:10,국힘 꼰대 윤핵관도 내로남불..?!!
191,anag****,2022.10.09. 00:02,"국짐당이 대한민국 암 덩어리 집단이다이런 윤새 ?나. 국짐당을. 지지 하는 사람들은 과연 정상적인 사람들일까 ? 어서 빨 리 병원가서 정신 감정이나 받아 보길,,,, 운새 ? 때문에 경제 무능자 때문에 국민들이 고통받고. 살고 있다ㆍ"
192,cndg****,2022.10.08. 23:58,"유승민, 너나 잘해라, 족제비 행동하지 말고,ㅡ대통령은 1호당원에 국가 통치자야,ㅡ너는 대선 토론에서 얼마나 까고 공격했는냐?,ㅡ선거철에 자기당 대통령 후보를 지지 선언이나 했냐?ㅡ나쁜놈,ㅡ어디서 나와 밥,숟가락 올리려 하고 있어,,ㅡㅡ야비한 인간ㅡㅡ"
193,para****,2022.10.08. 23:50,아가리 닥쳐라 이놈아~!
194,amen****,2022.10.08. 23:49,승민아.네가 국힘당에서ㅇ하는 일이 과연 무엇이냐?분탕과냐? 배신과냐? 국민들한테 처자식한테 부끄럽지도 않니?
195,blue****,2022.10.08. 23:40,일반국민 대부분 유승민 후보를 차기 가장 유력한 주자로 보며 개혁보수세력이 대거 몰려오고 있다 보더라^^^
196,forc****,2022.10.08. 23:37,"화이팅,,,,,,유승민의원님 응원합니다"
197,myla****,2022.10.08. 23:36,윤 새 ? 도. 징계 하라유승민이 말이 100% 맟는 말이다
198,yang****,2022.10.08. 23:31,민주당 지지자들에게 역선택 호소 중 ㅋㅋㅋㅋㅋ 잔대가리 굴리지 말고 꺼져~
199,sjl2****,2022.10.08. 23:30,"옳은 말씀. 그러나 범죄자 패거리가 검찰이라는 거대 집단을 호위병으로 두고 나랏돈을 해처먹고 있고 침략국에게 독도 영해를 내 주고 있는 상황에서 그것은 전혀 중대한 사안이 아니옵니다. 예를 들자면, 주가 조작의 진정한 고수 이준수와 김건희는 파트너. 이준수는 범죄 전면에 나타나지 않은 인물, 그는 어디에 있는 것이며 김건희와 얼마나 상습적으로 조작을 했는지. 그런 의혹을 제기해 주시길 바랍니다."
200,1963****,2022.10.08. 23:23,쩍벌이 징계해라
201,1963****,2022.10.08. 23:19,찢재명 먼저하고 고려사항임 항상 우선순위 모르고뒷북히는 승민이
202,sono****,2022.10.08. 23:19,승민아 준석이가 네아들이라며 잘가르켜 배신자
203,alal****,2022.10.08. 23:18,24퍼 극우들 오늘도 열심히 고생하네
204,rtkd****,2022.10.08. 23:16,승민이 입을 확 찢. . . 준서기랑 지구를 떠나라. . 꼴도 보기 싫다.
205,gkdy****,2022.10.09. 09:09,미친 유승민아국민들 열받게 하지마라그만 조용히 살아
206,tro1****,2022.10.08. 23:09,국민의힘이 당이냐그냥 정치 사기꾼 집단이지
207,tro1****,2022.10.08. 23:08,그나마 올바른 판단을하는 인간이 국짐에도 있구나
208,ratl****,2022.10.09. 00:45,代 背 蠅 憫 군 ! 제발 그만해라 그럲게 싫은당에 왜 붇어있냐 ! 이제그만 쌕돌군 대리고 나가서 당하나 만들어서 독립하거라 시끄럽게 하지말고 !
209,jtki****,2022.10.08. 22:59,역시 사리분별 못하는 뇌썩들 꼬셔 권력 유지하고 권력에 아부만 하는 똥파리떼들과 넘 다르네요~ 암울한 시기지만 유승민 의원같은 분들 땜에 그래도 이 나라의 희망이 보입니다 ^^
210,raci****,2022.10.08. 22:58,다른거 다 봐줘도 우리의 최고 동맹 미국에 쌍욕을 한것은 처벌해야지 누가 국익을 책임질건데 돌대가리가 국격 망쳐놓고 어찌 회복할낀데
211,ment****,2022.10.08. 22:46,이분도 참으로 힘들겠다 ㅠㅠ
212,abcm****,2022.10.08. 22:42,배신자에게 중징계를 ᆢ
213,sdke****,2022.10.08. 22:40,"이 생쥐는 준서기보다 더 더럽네. 꼴에 중진이라고,.... 대통 후보까지 한 사람 수준이 이정도니, 혀 깨물고 죽어라."
214,pao2****,2022.10.08. 22:34,유승민은 알고있다! 국짐당이 윤석열 내치면 검찰수사에 무사할놈 없다는걸.....
215,sibh****,2022.10.08. 22:34,윤석열 지지하는 사람들은 솔직하게 지능이 한자릿수가 아닐까 생각한다.....ㅋㅋㅋㅋㅋ
216,para****,2022.10.08. 22:23,당품위손상보다 백배 만배 나쁜 국가품격훼손시킨 시리지.
217,3lif****,2022.10.08. 22:22,유승민 이 할매 맛이 갔구나 똥인지 된장인지 구분을 못하내어이구 우짜다다 이래됐나.
218,ch18****,2022.10.08. 22:16,이 사람 제발 스스로 탈당해라. 박근혜 무너지는데 앞장선 배신의 아이콘!!!’ 정말 생긴 그대로 행동하는 사람 ㅜㅜ
219,tkde****,2022.10.08. 22:15,유승민 + 이찍명 = 이쭌석 ~~~ 같은 종ㆍ깉은 과
220,wwwj****,2022.10.08. 22:13,굥정해서
221,syou****,2022.10.08. 22:12,역시 보수 분열의 화신. 현상황에서 대통령을 비난해서 분열시키는 의도가 뭔지요? 민주당이 혼신을 다해 깍아내리기 하는 이시점에서 제대로된 의정활동할수 있게 도와주는게 같은 당원의 도리죠. 민주당서 당헌까지 개헌하고 없던 법마저 만들어 문재인 지키겠다는것 보고도 이런 행동하는거 과연 맞는것인가요?
222,gkch****,2022.10.08. 22:10,민주당 하세요
223,aloe****,2022.10.08. 22:04,국힘의 빨개이 유승민 박근혜가 당대표 비서실장까지 시켰는데 주군의 등에 칼 꽂은넘 이준석과 똑같은 넘들
224,cjs1****,2022.10.08. 22:03,쪽재비 피곤하다언론에 살아져라
225,gtsi****,2022.10.08. 22:03,얘는 도데체 집구석에서 난장이야~~~? 중이 절이 싫음 나가야지...나가서 창당해라..
226,vjxl****,2022.10.08. 22:02,너나 잘하세요
227,leek****,2022.10.08. 22:01,국짐 수꼴들아 유승민 반의 반 정도 라도 닮아봐라
228,kkb3****,2022.10.08. 22:00,민주당 당대표로 가라
229,aloe****,2022.10.08. 21:58,박근혜 잘만나 무명인 배신자 세기 비례로 국회의원 당선시켜줘 공천받으면 무조건 당선되는 대구에서 세번 당선시켜줘 머리 커졌다고 결국 박근혜 배신때려 주사파 한테 정권받치고 아닥하며 조용히 사는것이 지 도리인데.. 또 분탕질로 어렵게 되찾은 정권 이재명한테 갖다줄 려고 윤통 정권 분탕질 시작하고 당권 잡겠다고 ㅋㅋ 국힘 당원들이 우습지..
230,kidc****,2022.10.08. 21:56,니들둘만빠지면국힘잘돌아간다 하나보단둘이라했다 둘이씩씩하게신당창당해라 니들이외치는개혁보수들모아
231,psyb****,2022.10.08. 21:53,2찍. 국짐이 문제지 유승민 맞는말하네~
232,shij****,2022.10.08. 21:49,상식 ㅡ유승민.이준석비상식 ㅡ2찍.전광훈
233,jeon****,2022.10.08. 21:48,준석이와 승민이는 저울에 달면 똑같은 무게 일거야
234,ehdg****,2022.10.08. 21:47,나가서 신당만들어라 개돼지 같은놈들 많네
235,drea****,2022.10.08. 21:46,2찍 대깨윤들아 니들은 유승민같은 사람을 후보로 내세우지 않으니까 날리믄 아라고 하는거다 양심도 파는것들 ㅋㅋㅋㅋ
236,lcm7****,2022.10.08. 21:44,어떻하면 또 배신 때리고 더불어 만진당에게 정권내줄 방법만 찾고 있는 개 배신자 세기
237,rsef****,2022.10.08. 21:42,맞는말하네..
238,kwan****,2022.10.08. 21:40,공정하지는 않네 ㅋ
239,cksl****,2022.10.08. 21:39,권성동 하고 돼지하고 한 내부총질 문자도윤리위 회부해야한다
240,kwon****,2022.10.08. 21:39,국힘은 이런 개 배신자 세기들 내치지 않으면 윤통 정말 박근혜 대통령 꼴 난다.. 반드시 내칩시다.
241,yhkw****,2022.10.08. 21:39,유승민 1표 홍준표보다 났다
242,hi10****,2022.10.08. 21:39,"다음 징계는 너구나!!!! 남들은 한 거짓말도 안했다고 한다는데, 안 한 말을 왜 사과 하라고 질척거리냐? 허위사실 유포로 너도 징계받고 싶니?"
243,yayo****,2022.10.08. 21:34,윤리위 머하니~저런애 는 왜 가만 두는건데 정신병자♀️
244,garn****,2022.10.08. 21:31,말이 되는 소릴 좀 하쇼.
245,scot****,2022.10.08. 21:30,은퇴안하니?
246,yjin****,2022.10.08. 21:29,너랑 떡준석이만 없으면 제대로 돌아 갈낀데... 배신의 아이콘
247,0912****,2022.10.08. 21:28,배신자들은 절대 안바뀐다! 사라져라 친구아들 데리고!
