,작성자,시간,내용
1024,rhdd****,2022.10.08. 15:45,죽창으로공격하는데 서로손가락질하며싸우는보수들 이젠구호바꿔라 좌빨은부패로망하고 보수는 분열로망한다.
1025,kill****,2022.10.08. 15:45,굥짜장들의 개들인데 징계 못하지.
1026,jjmo****,2022.10.08. 15:45,배신의 아이콘 승민씨는 준석이와 함께 신당 창당하세요 국힘에서 분탕질 하지 마시고....
1027,jind****,2022.10.08. 15:44,이렇게 의견이 맞지않는데 합당은 왜 했니? 개혁보수로 독자행보나 지속하지 합당은 왜 했니? 그런 소리나 들을려고 합당 했냐 세력결집을 위해 합당했지 합당을 해놓고 왜 당론을 따르지 않고 내부총질이냐? 내부총질하라고 합당한게 아닐건데 비판을 할거면 개혁보수로 독자행보나 지속했어야지
1028,ilov****,2022.10.08. 15:44,..칼자루 쥔 사람 마음이다......이준석 데리고 다시 탈당해봐라.....
1029,dyna****,2022.10.08. 15:43,유승민이가 흥분해서 정신줄 놓았나보다ㅋ. 사석에서 욕한 거랑 공개적으로 자당 해당행위를 한 거를 같이 보나? 상식을 벗어난 언동을 하는거보니 정치계 은퇴할때 됐다.
1030,jwo3****,2022.10.08. 15:43,잘한다 승민아 국짐당을 아예 조각조각 쪼개버려라 지금은 국담당패거리들 빼놓고 국민들도 너희들편이다
1031,16jh****,2022.10.08. 15:43,승민아! 제발 준석이 데리고 민주당과 함께 북한에 가라!!! 하긴 너나 준석이 같은 배신자는 거기서도 안 받아 주겠지만...
1032,bugw****,2022.10.08. 15:43,ㅉㅉㅉㅉ ㅉㅉㅉㅉ 이것도 역대급으로 남을듯 합니다
1033,rhdd****,2022.10.08. 15:43,박근혜 구속+문대통령 배신+유승민 공약 먹튀 +이준석 팽시킨 =찐배신자 무능 윤대통령은 어쩔?ㅎ
1034,qwer****,2022.10.09. 11:47,유승민 또 뒤통수 치고 싶겠지
1035,thda****,2022.10.08. 15:43,유승민은 도대체 정체가 뭐냐!?????매번 배신 때리네
1036,jind****,2022.10.08. 15:43,역시 앞잡이라서 또 같은 짓거리 하네.
1037,sukh****,2022.10.08. 15:42,"승민아? 박통 탄핵 일등공신으로써 니가 입터는게 우수운거 아닌가?너.무성 욕심으로, 야당과 협조해 탄핵정국 만들고,그러고도 니가 정치인을 한다는게 어이가 없는게 아닌가~~"
1038,kwj3****,2022.10.08. 15:42,진짜 유승민은 ㅋㅋ왜이렇게 눈치도 없이 저렇게 꼴깞을 떠는거냐 ㅋㅋㅋㅋ윤석열이 아무리 조까타도 저따구로 행동하면 안되지 ㅋ
